Time(s),Ventricular,Atrial
1.609950304031372,61216,61215
1.6203625202178955,61215,16351
1.6308491230010986,62560,62559
1.641080379486084,62559,16351
1.6513512134552002,60256,60255
1.661534070968628,60255,16351
1.6716911792755127,62112,62111
1.682302474975586,62111,16351
1.6923484802246094,60960,60959
1.7027113437652588,60959,16351
1.7130885124206543,62752,62751
1.723560094833374,62751,16351
1.733736515045166,61408,61407
1.7441418170928955,61407,16351
1.7546148300170898,60896,60895
1.7662365436553955,60895,16351
1.7809641361236572,60960,60959
1.7938942909240723,60959,16351
1.8099637031555176,62560,62559
1.8169643878936768,62559,16351
1.8263463973999023,61472,61471
1.8364176750183105,61471,16351
1.8467481136322021,62496,62495
1.857107400894165,62495,16351
1.8675642013549805,61664,61663
1.8780360221862793,61663,16351
1.8885326385498047,61920,61919
1.8987679481506348,61919,16351
1.909015417098999,59424,59423
1.9192960262298584,59423,16351
1.9296715259552002,62048,62047
1.9398558139801025,62047,16351
1.9501934051513672,60320,60319
1.9605929851531982,60319,16351
1.9709687232971191,62752,62751
1.9814486503601074,62751,16351
1.9916956424713135,60448,60447
2.0019984245300293,60447,16351
2.012444496154785,62560,62559
2.0227720737457275,62559,16351
2.033295154571533,60512,60511
2.0436794757843018,60511,16351
2.0544495582580566,62560,62559
2.065070629119873,62559,16351
2.0752596855163574,59744,59743
2.085883378982544,59743,16351
2.0962626934051514,62048,62047
2.1072049140930176,62047,16351
2.1177361011505127,61472,61471
2.128390073776245,61471,16351
2.139117479324341,61920,61919
2.149467945098877,61919,16351
2.160388231277466,60640,60639
2.169476270675659,60639,16351
2.179466485977173,63008,63007
2.1894776821136475,63007,16351
2.199894428253174,61472,61471
2.210075855255127,61471,16351
2.2206778526306152,62240,62239
2.2312331199645996,62239,16351
2.242222547531128,61088,61087
2.2526183128356934,61087,16351
2.2631945610046387,62240,62239
2.273798942565918,62239,16351
2.284187078475952,60960,60959
2.296520948410034,60959,16351
2.310676336288452,62176,62175
2.327392816543579,62175,16351
2.3379456996917725,61216,61215
2.3483214378356934,61215,16351
2.3587398529052734,62368,62367
2.3692784309387207,62367,16351
2.3797502517700195,61728,61727
2.3894848823547363,61727,16351
2.4004106521606445,63392,63391
2.411038875579834,63391,16351
2.421398878097534,61344,61343
2.431593418121338,61343,16351
2.442565441131592,61536,61535
2.4528331756591797,61535,16351
2.463207960128784,60960,60959
2.473695993423462,60959,16351
2.506049871444702,62752,62751
2.514742374420166,62751,16351
2.5252795219421387,61536,61535
2.535689353942871,61535,16351
2.5460567474365234,62560,62559
2.5567264556884766,62559,16351
2.567356824874878,60768,60767
2.577718734741211,60767,16351
2.5879876613616943,62560,62559
2.5987913608551025,62559,16351
2.6094539165496826,61472,61471
2.619319200515747,61471,16351
2.629314422607422,63520,63519
2.6395151615142822,63519,16351
2.6501121520996094,60960,60959
2.660555601119995,60959,16351
2.6710851192474365,62752,62751
2.681537628173828,62751,16351
2.692232608795166,59936,59935
2.7027039527893066,59935,16351
2.713235378265381,63200,63199
2.7238504886627197,63199,16351
2.734238862991333,61280,61279
2.7447128295898438,61279,16351
2.7553000450134277,62048,62047
2.7657341957092285,62047,16351
2.775942087173462,60896,60895
2.7864062786102295,60895,16351
2.797483205795288,62560,62559
2.80804181098938,62559,16351
2.8204848766326904,61216,61215
2.8296048641204834,61215,16351
2.8446764945983887,62176,62175
2.8515031337738037,62175,16351
2.8603475093841553,60192,60191
2.8707289695739746,60191,16351
2.8814446926116943,61408,61407
2.891573905944824,61407,16351
2.9024808406829834,61984,61983
2.914698362350464,61983,16351
2.923414945602417,62176,62175
2.9338462352752686,62175,16351
2.944208860397339,60640,60639
2.9549968242645264,60639,16351
2.9652271270751953,62496,62495
2.97575044631958,62495,16351
2.9860732555389404,61216,61215
2.9967520236968994,61215,16351
3.0148448944091797,62752,62751
3.0173118114471436,62751,16351
3.027782678604126,61216,61215
3.038733959197998,61215,16351
3.0486278533935547,61920,61919
3.0591700077056885,61919,16351
3.069700241088867,59872,59871
3.079469919204712,59871,16351
3.089465618133545,62496,62495
3.0998504161834717,62495,16351
3.1100432872772217,61152,61151
3.1202666759490967,61151,16351
3.1306886672973633,61984,61983
3.1413326263427734,61983,16351
3.15199875831604,59744,59743
3.1621875762939453,59743,16351
3.172769069671631,61984,61983
3.1831839084625244,61983,16351
3.1938321590423584,59936,59935
3.204403877258301,59935,16351
3.2146191596984863,61728,61727
3.225205421447754,61727,16351
3.2356841564178467,60896,60895
3.2458131313323975,60895,16351
3.2560815811157227,62752,62751
3.266578435897827,62751,16351
3.276707410812378,61024,61023
3.2868919372558594,61023,16351
3.297136068344116,62752,62751
3.3074676990509033,62751,16351
3.3175785541534424,61472,61471
3.3279926776885986,61471,16351
3.338557481765747,61920,61919
3.348896026611328,61919,16351
3.3597981929779053,60064,60063
3.3747048377990723,60063,16351
3.383868455886841,60896,60895
3.3935790061950684,60895,16351
3.404428482055664,59296,59295
3.4144890308380127,59295,16351
3.424513101577759,62176,62175
